20660621,225153,3
20723608,225153,3
20723608,225153,1
20413415,120513,2
20717505,225153,3
20670548,120513,6
20123575,224753,2
20591586,141870,3
20591586,141870,1
20591586,225153,3
20744636,222718,2
20674635,112603,1
20590439,138987,1
20687357,92211,1
20687357,129536,1
20739373,74915,1
20739373,1411,1
20739373,235644,1
20684103,24479,1
20696893,3854,1
20705320,175725,1
20734849,80106,1
20698215,186041,1
20698215,230826,1
20743313,25509,1
20674142,137738,1
20674142,1382,1
20707925,42815,2
20696355,170632,1
20743336,1320,1
20743314,74233,1
20723948,46123,1
20723948,225598,1
20721859,4233,1
20645388,74233,1
20692002,61214,1
20610620,4107,1
20588626,6969,2
20436188,225515,1
20724807,85958,1
20724807,134876,1
20589579,176235,2
20689863,92120,1
20700740,58707,1
20534639,60581,1
20534639,117797,3
20716234,59614,2
20678603,57319,1
20646680,161254,1
20680298,16649,1
20724930,43928,1
20459086,40676,1
20696450,4592,2
20725976,130029,2
20743569,21911,1
20723608,16067,3
20688147,2773,1
20707690,117925,1
20707690,221274,1
20727166,176235,1
20725081,40961,1
20594090,214326,1
20594090,11411,1
20743544,58707,1
20647683,113355,1
20647683,130029,1
20743655,226443,1
20743655,25854,1
20743575,134944,1
20436859,128844,2
20689003,190039,1
20717480,59433,1
20002451,40595,4
20368958,74204,1
20641396,76541,1
20711778,58707,1
20669581,130029,1
20696952,85958,1
20696952,122024,1
20690046,134930,2
20572160,85884,1
20592704,52651,2
20743680,102987,1
20743722,21911,1
20743722,124232,1
20562625,60660,1
20562625,60943,2
20643303,85802,2
20643303,102987,3
20715167,46250,1
20648860,137549,1
20743852,139006,1
20656995,116930,2
20718495,113063,1
20710151,54315,1
20712473,244589,1
20712473,77682,1
20712473,221238,1
20691517,4592,1
20743979,58659,3
20727689,35046,1
20727179,233893,1
20743761,140266,1
20695597,41289,1
20696932,225515,1
20632541,140266,1
20590099,129760,1
20743638,86151,1
20743866,104617,1
20677011,83342,1
20725269,120448,1
20725269,24038,2
20646251,77963,1
20663544,155659,8
20727259,80672,1
20744018,44460,1
20743156,54315,1
20722663,3583,1
20698499,99174,1
20698499,14116,1
20689274,56194,1
20738621,147694,2
20717505,42645,1
20716242,57319,1
20716242,3489,1
20630574,90991,1
20705391,129296,1
20694051,59984,1
20744158,17844,1
20706848,70831,1
20706848,100841,1
20645325,55926,2
20645325,142698,1
20695586,31939,1
20712257,128844,1
20742790,137957,1
20658094,162166,1
20658094,102987,1
20669355,44460,1
20744194,195739,1
20677393,194766,1
20683636,88665,1
20593471,127388,1
20671297,129805,1
20693766,56870,2
20722775,42193,1
20728794,85958,1
20660253,52544,3
20706474,125422,1
20568478,129536,1
20672719,24520,1
20672719,39252,1
20744507,19290,1
20662406,106204,1
20690357,81530,3
20744373,3684,1
20342521,137623,1
20706431,193298,1
20475448,41694,1
20640567,1863,2
20741145,26741,5
20522327,121146,1
20744077,59434,1
20743559,127388,1
20567134,38358,1
20567134,170632,2
20725844,2733,1
20744426,42193,3
20667561,222058,1
20718775,60974,4
20631472,40299,1
20725666,140266,1
20651969,34756,1
20651969,44681,1
20741574,102987,1
20440022,227146,2
20683711,150622,2
20712169,55926,1
20495922,39703,2
20691961,130029,1
20691961,52651,1
20609091,138474,1
20702788,139107,1
20590150,83342,1
20644341,60581,1
20686351,100299,1
20666183,96175,1
